tweet_id,company,tweet_text,sentiment
193,Google,Google update broke everything. Please fix it!,negative
194,Meta,"Not good, not bad. Meta is just average.",neutral
195,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
196,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
197,Google,Tried out Google. Mixed feelings about it.,neutral
198,Microsoft,Microsoft keeps crashing. Super annoying.,negative
199,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
200,Google,Terrible experience with Google customer support.,negative
201,Apple,"Not good, not bad. Apple is just average.",neutral
202,Google,Why is Google so slow lately? Very frustrating.,negative
203,Amazon,"I used Amazon today. It's okay, nothing special.",neutral
204,Google,Great customer service from Google. Totally satisfied!,positive
205,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
206,Google,Impressed with Google's latest product release.,positive
207,Microsoft,Microsoft update broke everything. Please fix it!,negative
208,Microsoft,Really disappointed with Microsoft. Not what I expected.,negative
209,Google,Terrible experience with Google customer support.,negative
210,Meta,"I used Meta today. It's okay, nothing special.",neutral
211,Meta,Terrible experience with Meta customer support.,negative
212,Apple,Why is Apple so slow lately? Very frustrating.,negative
213,Microsoft,Microsoft update broke everything. Please fix it!,negative
214,Meta,"Meta works fine, just the usual stuff.",neutral
215,Microsoft,Microsoft's performance is top-notch. Kudos to the team!,positive
216,Microsoft,Really disappointed with Microsoft. Not what I expected.,negative
217,Microsoft,Terrible experience with Microsoft customer support.,negative
218,Google,Google keeps crashing. Super annoying.,negative
219,Meta,"I used Meta today. It's okay, nothing special.",neutral
220,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
221,Apple,Impressed with Apple's latest product release.,positive
222,Google,Google keeps crashing. Super annoying.,negative
223,Apple,Terrible experience with Apple customer support.,negative
224,Amazon,Impressed with Amazon's latest product release.,positive
225,Amazon,Terrible experience with Amazon customer support.,negative
226,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
227,Apple,Really disappointed with Apple. Not what I expected.,negative
228,Meta,Meta's performance is top-notch. Kudos to the team!,positive
229,Google,"I used Google today. It's okay, nothing special.",neutral
230,Apple,Great customer service from Apple. Totally satisfied!,positive
231,Google,Fast and reliable – Google never disappoints!,positive
232,Google,Great customer service from Google. Totally satisfied!,positive
233,Microsoft,"I used Microsoft today. It's okay, nothing special.",neutral
234,Meta,Impressed with Meta's latest product release.,positive
235,Amazon,Amazon keeps crashing. Super annoying.,negative
236,Meta,"I used Meta today. It's okay, nothing special.",neutral
237,Google,Really disappointed with Google. Not what I expected.,negative
238,Meta,Meta's performance is top-notch. Kudos to the team!,positive
239,Meta,Tried out Meta. Mixed feelings about it.,neutral
240,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
241,Apple,"Apple works fine, just the usual stuff.",neutral
242,Apple,"Not good, not bad. Apple is just average.",neutral
243,Meta,Fast and reliable – Meta never disappoints!,positive
244,Apple,Apple update broke everything. Please fix it!,negative
245,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
246,Apple,"Not good, not bad. Apple is just average.",neutral
247,Apple,Terrible experience with Apple customer support.,negative
248,Apple,Why is Apple so slow lately? Very frustrating.,negative
249,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
250,Microsoft,Fast and reliable – Microsoft never disappoints!,positive
251,Amazon,Still exploring Amazon. Too early to judge.,neutral
252,Microsoft,Terrible experience with Microsoft customer support.,negative
253,Meta,Why is Meta so slow lately? Very frustrating.,negative
254,Google,Google's performance is top-notch. Kudos to the team!,positive
255,Microsoft,Impressed with Microsoft's latest product release.,positive
256,Meta,Tried out Meta. Mixed feelings about it.,neutral
257,Amazon,Impressed with Amazon's latest product release.,positive
258,Amazon,Impressed with Amazon's latest product release.,positive
259,Google,Why is Google so slow lately? Very frustrating.,negative
260,Amazon,Amazon update broke everything. Please fix it!,negative
261,Amazon,"I used Amazon today. It's okay, nothing special.",neutral
262,Meta,The new Meta update is amazing! Loving the features.,positive
263,Google,Tried out Google. Mixed feelings about it.,neutral
264,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
265,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
266,Microsoft,The new Microsoft update is amazing! Loving the features.,positive
267,Amazon,Impressed with Amazon's latest product release.,positive
268,Google,Google update broke everything. Please fix it!,negative
269,Amazon,Amazon update broke everything. Please fix it!,negative
270,Meta,Terrible experience with Meta customer support.,negative
271,Meta,Why is Meta so slow lately? Very frustrating.,negative
272,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
273,Amazon,The new Amazon update is amazing! Loving the features.,positive
274,Google,Really disappointed with Google. Not what I expected.,negative
275,Meta,"Meta works fine, just the usual stuff.",neutral
276,Google,Impressed with Google's latest product release.,positive
277,Amazon,Still exploring Amazon. Too early to judge.,neutral
278,Meta,"Not good, not bad. Meta is just average.",neutral
279,Apple,Apple's performance is top-notch. Kudos to the team!,positive
280,Google,Google keeps crashing. Super annoying.,negative
281,Amazon,Fast and reliable – Amazon never disappoints!,positive
282,Google,Really disappointed with Google. Not what I expected.,negative
283,Apple,"Not good, not bad. Apple is just average.",neutral
284,Google,Tried out Google. Mixed feelings about it.,neutral
285,Apple,Fast and reliable – Apple never disappoints!,positive
286,Amazon,Terrible experience with Amazon customer support.,negative
287,Microsoft,Microsoft keeps crashing. Super annoying.,negative
288,Apple,Terrible experience with Apple customer support.,negative
289,Apple,Impressed with Apple's latest product release.,positive
290,Microsoft,Fast and reliable – Microsoft never disappoints!,positive
291,Apple,Great customer service from Apple. Totally satisfied!,positive
292,Meta,Really disappointed with Meta. Not what I expected.,negative
293,Google,Fast and reliable – Google never disappoints!,positive
294,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
295,Meta,Fast and reliable – Meta never disappoints!,positive
296,Microsoft,Terrible experience with Microsoft customer support.,negative
297,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
298,Amazon,Still exploring Amazon. Too early to judge.,neutral
299,Apple,"I used Apple today. It's okay, nothing special.",neutral
300,Google,"Google works fine, just the usual stuff.",neutral
301,Amazon,"I used Amazon today. It's okay, nothing special.",neutral
302,Google,Great customer service from Google. Totally satisfied!,positive
303,Meta,Great customer service from Meta. Totally satisfied!,positive
304,Apple,Terrible experience with Apple customer support.,negative
305,Meta,Why is Meta so slow lately? Very frustrating.,negative
306,Apple,Apple's performance is top-notch. Kudos to the team!,positive
307,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
308,Apple,"Apple works fine, just the usual stuff.",neutral
309,Amazon,Still exploring Amazon. Too early to judge.,neutral
310,Google,Really disappointed with Google. Not what I expected.,negative
311,Meta,Great customer service from Meta. Totally satisfied!,positive
312,Amazon,The new Amazon update is amazing! Loving the features.,positive
313,Apple,Apple's performance is top-notch. Kudos to the team!,positive
314,Meta,Still exploring Meta. Too early to judge.,neutral
315,Amazon,Really disappointed with Amazon. Not what I expected.,negative
316,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
317,Microsoft,Microsoft update broke everything. Please fix it!,negative
318,Meta,Terrible experience with Meta customer support.,negative
319,Apple,"I used Apple today. It's okay, nothing special.",neutral
320,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
321,Meta,Really disappointed with Meta. Not what I expected.,negative
322,Apple,Fast and reliable – Apple never disappoints!,positive
323,Meta,Meta's performance is top-notch. Kudos to the team!,positive
324,Meta,Great customer service from Meta. Totally satisfied!,positive
325,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
326,Amazon,Fast and reliable – Amazon never disappoints!,positive
327,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
328,Apple,Why is Apple so slow lately? Very frustrating.,negative
329,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
330,Apple,Apple's performance is top-notch. Kudos to the team!,positive
331,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
332,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
333,Meta,Impressed with Meta's latest product release.,positive
334,Apple,Why is Apple so slow lately? Very frustrating.,negative
335,Amazon,Impressed with Amazon's latest product release.,positive
336,Meta,Fast and reliable – Meta never disappoints!,positive
337,Microsoft,Really disappointed with Microsoft. Not what I expected.,negative
338,Google,"Not good, not bad. Google is just average.",neutral
339,Meta,Terrible experience with Meta customer support.,negative
340,Apple,Apple's performance is top-notch. Kudos to the team!,positive
341,Meta,Meta's performance is top-notch. Kudos to the team!,positive
342,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
343,Apple,Fast and reliable – Apple never disappoints!,positive
344,Google,"Google works fine, just the usual stuff.",neutral
345,Amazon,"I used Amazon today. It's okay, nothing special.",neutral
346,Meta,Really disappointed with Meta. Not what I expected.,negative
347,Google,Impressed with Google's latest product release.,positive
348,Apple,"Apple works fine, just the usual stuff.",neutral
349,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
350,Meta,"Not good, not bad. Meta is just average.",neutral
351,Microsoft,Terrible experience with Microsoft customer support.,negative
352,Google,Google update broke everything. Please fix it!,negative
353,Google,Google keeps crashing. Super annoying.,negative
354,Meta,"Meta works fine, just the usual stuff.",neutral
355,Apple,Terrible experience with Apple customer support.,negative
356,Amazon,"Not good, not bad. Amazon is just average.",neutral
357,Apple,Why is Apple so slow lately? Very frustrating.,negative
358,Meta,Tried out Meta. Mixed feelings about it.,neutral
359,Google,Google update broke everything. Please fix it!,negative
360,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
361,Meta,Tried out Meta. Mixed feelings about it.,neutral
362,Microsoft,Microsoft keeps crashing. Super annoying.,negative
363,Google,Tried out Google. Mixed feelings about it.,neutral
364,Google,Really disappointed with Google. Not what I expected.,negative
365,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
366,Microsoft,Microsoft keeps crashing. Super annoying.,negative
367,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
368,Meta,"Not good, not bad. Meta is just average.",neutral
369,Apple,Really disappointed with Apple. Not what I expected.,negative
370,Meta,Really disappointed with Meta. Not what I expected.,negative
371,Google,Google keeps crashing. Super annoying.,negative
372,Apple,Why is Apple so slow lately? Very frustrating.,negative
373,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
374,Apple,Apple update broke everything. Please fix it!,negative
375,Microsoft,Terrible experience with Microsoft customer support.,negative
376,Meta,Fast and reliable – Meta never disappoints!,positive
377,Apple,Apple's performance is top-notch. Kudos to the team!,positive
378,Google,"I used Google today. It's okay, nothing special.",neutral
379,Microsoft,The new Microsoft update is amazing! Loving the features.,positive
380,Microsoft,Microsoft's performance is top-notch. Kudos to the team!,positive
381,Apple,Apple's performance is top-notch. Kudos to the team!,positive
382,Apple,Why is Apple so slow lately? Very frustrating.,negative
383,Amazon,Amazon keeps crashing. Super annoying.,negative
384,Google,Tried out Google. Mixed feelings about it.,neutral
385,Meta,"Meta works fine, just the usual stuff.",neutral
386,Google,The new Google update is amazing! Loving the features.,positive
387,Meta,Meta update broke everything. Please fix it!,negative
388,Google,Google update broke everything. Please fix it!,negative
389,Google,Impressed with Google's latest product release.,positive
390,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
391,Apple,Why is Apple so slow lately? Very frustrating.,negative
392,Meta,The new Meta update is amazing! Loving the features.,positive
393,Microsoft,Microsoft update broke everything. Please fix it!,negative
394,Amazon,Tried out Amazon. Mixed feelings about it.,neutral
395,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
396,Google,Terrible experience with Google customer support.,negative
397,Apple,Impressed with Apple's latest product release.,positive
398,Meta,Meta update broke everything. Please fix it!,negative
399,Amazon,"Not good, not bad. Amazon is just average.",neutral
400,Apple,Tried out Apple. Mixed feelings about it.,neutral
401,Amazon,Fast and reliable – Amazon never disappoints!,positive
402,Apple,Tried out Apple. Mixed feelings about it.,neutral
403,Amazon,Fast and reliable – Amazon never disappoints!,positive
404,Amazon,Great customer service from Amazon. Totally satisfied!,positive
405,Meta,Meta keeps crashing. Super annoying.,negative
406,Apple,"I used Apple today. It's okay, nothing special.",neutral
407,Amazon,Really disappointed with Amazon. Not what I expected.,negative
408,Meta,Meta keeps crashing. Super annoying.,negative
409,Apple,Why is Apple so slow lately? Very frustrating.,negative
410,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
411,Google,"Not good, not bad. Google is just average.",neutral
412,Meta,"Not good, not bad. Meta is just average.",neutral
413,Google,Terrible experience with Google customer support.,negative
414,Amazon,"Not good, not bad. Amazon is just average.",neutral
415,Apple,Really disappointed with Apple. Not what I expected.,negative
416,Google,Impressed with Google's latest product release.,positive
417,Meta,Really disappointed with Meta. Not what I expected.,negative
418,Microsoft,Microsoft's performance is top-notch. Kudos to the team!,positive
419,Meta,Impressed with Meta's latest product release.,positive
420,Amazon,"Not good, not bad. Amazon is just average.",neutral
421,Meta,Why is Meta so slow lately? Very frustrating.,negative
422,Apple,"Apple works fine, just the usual stuff.",neutral
423,Microsoft,Fast and reliable – Microsoft never disappoints!,positive
424,Meta,Meta update broke everything. Please fix it!,negative
425,Google,"I used Google today. It's okay, nothing special.",neutral
426,Microsoft,"Not good, not bad. Microsoft is just average.",neutral
427,Microsoft,Great customer service from Microsoft. Totally satisfied!,positive
428,Apple,Apple's performance is top-notch. Kudos to the team!,positive
429,Microsoft,The new Microsoft update is amazing! Loving the features.,positive
430,Google,"Google works fine, just the usual stuff.",neutral
431,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
432,Meta,Meta update broke everything. Please fix it!,negative
433,Google,Really disappointed with Google. Not what I expected.,negative
434,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
435,Amazon,Amazon's performance is top-notch. Kudos to the team!,positive
436,Google,Terrible experience with Google customer support.,negative
437,Google,Really disappointed with Google. Not what I expected.,negative
438,Amazon,"Not good, not bad. Amazon is just average.",neutral
439,Apple,Why is Apple so slow lately? Very frustrating.,negative
440,Google,Impressed with Google's latest product release.,positive
441,Apple,"Apple works fine, just the usual stuff.",neutral
442,Meta,The new Meta update is amazing! Loving the features.,positive
443,Amazon,Great customer service from Amazon. Totally satisfied!,positive
444,Meta,The new Meta update is amazing! Loving the features.,positive
445,Meta,Fast and reliable – Meta never disappoints!,positive
446,Google,Google's performance is top-notch. Kudos to the team!,positive
447,Google,"I used Google today. It's okay, nothing special.",neutral
448,Amazon,Great customer service from Amazon. Totally satisfied!,positive
449,Meta,Meta keeps crashing. Super annoying.,negative
450,Apple,"I used Apple today. It's okay, nothing special.",neutral
451,Google,Google's performance is top-notch. Kudos to the team!,positive
452,Google,"Not good, not bad. Google is just average.",neutral
453,Apple,Apple's performance is top-notch. Kudos to the team!,positive
454,Apple,Impressed with Apple's latest product release.,positive
455,Meta,The new Meta update is amazing! Loving the features.,positive
456,Microsoft,Why is Microsoft so slow lately? Very frustrating.,negative
457,Meta,"I used Meta today. It's okay, nothing special.",neutral
458,Microsoft,"Microsoft works fine, just the usual stuff.",neutral
459,Meta,Fast and reliable – Meta never disappoints!,positive
460,Amazon,Really disappointed with Amazon. Not what I expected.,negative
461,Apple,Terrible experience with Apple customer support.,negative
462,Microsoft,"I used Microsoft today. It's okay, nothing special.",neutral
463,Microsoft,Tried out Microsoft. Mixed feelings about it.,neutral
464,Apple,Apple's performance is top-notch. Kudos to the team!,positive
465,Meta,The new Meta update is amazing! Loving the features.,positive
466,Google,Google update broke everything. Please fix it!,negative
467,Meta,"Not good, not bad. Meta is just average.",neutral
468,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
469,Amazon,Amazon update broke everything. Please fix it!,negative
470,Meta,Really disappointed with Meta. Not what I expected.,negative
471,Apple,Still exploring Apple. Too early to judge.,neutral
472,Google,Terrible experience with Google customer support.,negative
473,Google,Why is Google so slow lately? Very frustrating.,negative
474,Microsoft,Terrible experience with Microsoft customer support.,negative
475,Apple,Terrible experience with Apple customer support.,negative
476,Amazon,"Not good, not bad. Amazon is just average.",neutral
477,Amazon,Impressed with Amazon's latest product release.,positive
478,Apple,The new Apple update is amazing! Loving the features.,positive
479,Apple,Really disappointed with Apple. Not what I expected.,negative
480,Amazon,Fast and reliable – Amazon never disappoints!,positive
481,Apple,Still exploring Apple. Too early to judge.,neutral
482,Meta,Really disappointed with Meta. Not what I expected.,negative
483,Microsoft,Terrible experience with Microsoft customer support.,negative
484,Apple,Apple update broke everything. Please fix it!,negative
485,Amazon,Really disappointed with Amazon. Not what I expected.,negative
486,Meta,"Meta works fine, just the usual stuff.",neutral
487,Google,Tried out Google. Mixed feelings about it.,neutral
488,Google,Google's performance is top-notch. Kudos to the team!,positive
489,Meta,Really disappointed with Meta. Not what I expected.,negative
490,Amazon,"Amazon works fine, just the usual stuff.",neutral
491,Microsoft,Still exploring Microsoft. Too early to judge.,neutral
492,Meta,Still exploring Meta. Too early to judge.,neutral
493,Apple,"Not good, not bad. Apple is just average.",neutral
494,Apple,Apple's performance is top-notch. Kudos to the team!,positive
495,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
496,Apple,Great customer service from Apple. Totally satisfied!,positive
497,Meta,Tried out Meta. Mixed feelings about it.,neutral
498,Apple,The new Apple update is amazing! Loving the features.,positive
499,Apple,Still exploring Apple. Too early to judge.,neutral
500,Google,Terrible experience with Google customer support.,negative
501,Microsoft,Microsoft keeps crashing. Super annoying.,negative
502,Amazon,Why is Amazon so slow lately? Very frustrating.,negative
